OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
63,An establishment where a range of fuel products can be purchased by motorists,Coles Express Forrestfield,Shell,2 Strelitzia Avenue,Forrestfield,Western Australia,-31.988698,116.010652
64,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bentley,Shell,1132 Albany Highway,Bentley,Western Australia,-32.000615,115.918701
65,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mosman Park,Shell,582 Stirling Highway,Mosman Park,Western Australia,-32.005181,115.759436
66,An establishment where a range of fuel products can be purchased by motorists,Coles Express Karawara,Shell,25 Walanna Drive,Karawara,Western Australia,-32.011831,115.884138
67,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mount Pleasant,Shell,1 The Esplanade,Mount Pleasant,Western Australia,-32.012609,115.850035
68,An establishment where a range of fuel products can be purchased by motorists,Coles Express Langford,Shell,74 Nicholson Road,Langford,Western Australia,-32.032011,115.938833
69,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bicton,Shell,394 Canning Highway,Bicton,Western Australia,-32.034092,115.792711
70,An establishment where a range of fuel products can be purchased by motorists,Coles Express Willetton,Shell,235-239 High Road,Willetton,Western Australia,-32.039076,115.893925
71,An establishment where a range of fuel products can be purchased by motorists,Coles Express Myaree,Shell,69 North Lake Road,Myaree,Western Australia,-32.039552,115.815331
72,An establishment where a range of fuel products can be purchased by motorists,Coles Express Brentwood,Shell,40 Moolyeen Road,Brentwood,Western Australia,-32.041363,115.848928
73,An establishment where a range of fuel products can be purchased by motorists,Coles Express Palmyra,Shell,80-82 Carrington Street,Palmyra,Western Australia,-32.047334,115.77988
74,An establishment where a range of fuel products can be purchased by motorists,Coles Express Maddington,Shell,117 Burslem Drive,Maddington,Western Australia,-32.055324,115.979919
75,An establishment where a range of fuel products can be purchased by motorists,Coles Express Fremantle,Shell,101 Hampton Road,Fremantle,Western Australia,-32.063301,115.756631
76,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bullcreek,Shell,42 Benningfield Road,Bull Creek,Western Australia,-32.063403,115.8579
77,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kardinya,Shell,North Lake Road and South Street,Kardinya,Western Australia,-32.067451,115.815269
78,An establishment where a range of fuel products can be purchased by motorists,Coles Express Canning Vale,Shell,280 Bannister Road,Canning Vale,Western Australia,-32.070404,115.895682
79,An establishment where a range of fuel products can be purchased by motorists,Coles Express Leeming,Shell,51 Farrington Road,Leeming,Western Australia,-32.079185,115.858292
80,An establishment where a range of fuel products can be purchased by motorists,Coles Express Southern River,Shell,Ranford Road and Lakey Street,Southern River,Western Australia,-32.103898,115.935304
81,An establishment where a range of fuel products can be purchased by motorists,Shell Service Spearwood,Shell,Spearwood Avenue and Wellard Street,Bibra Lake,Western Australia,-32.104418,115.803926
82,An establishment where a range of fuel products can be purchased by motorists,Coles Express Westfield,Shell,88 Champion Drive,Seville Grove,Western Australia,-32.130591,116.000961
83,An establishment where a range of fuel products can be purchased by motorists,Sam And Joels ,Shell,14-16 Lee Street,Montefiores,New South Wales,-32.540943,148.942852
84,An establishment where a range of fuel products can be purchased by motorists,Barmera Roadhouse,Shell,67 Tonkin Avenue,Barmera,South Australia,-34.256751,140.464615
