OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
2693,An establishment where a range of fuel products can be purchased by motorists,BP Wallacia,BP,1595-1597 Mulgoa Road,Wallacia,New South Wales,-33.864173,150.640741
2694,An establishment where a range of fuel products can be purchased by motorists,BP Darling Street,BP,551-555 Darling Street,Rozelle,New South Wales,-33.859166,151.171677
2695,An establishment where a range of fuel products can be purchased by motorists,BP Smithfield,BP,846 The Horsley Drive,Smithfield,New South Wales,-33.85157,150.925646
2696,An establishment where a range of fuel products can be purchased by motorists,BP Wetherill Park,BP,1181 The Horsley Drive,Wetherill Park,New South Wales,-33.849572,150.901125
2697,An establishment where a range of fuel products can be purchased by motorists,BP Horsley Park,BP,1642 The Horsley Drive,Horsley Park,New South Wales,-33.843845,150.863198
2698,An establishment where a range of fuel products can be purchased by motorists,BP Auburn,BP,179 Parramatta Road,Auburn,New South Wales,-33.841137,151.035958
2699,An establishment where a range of fuel products can be purchased by motorists,BP Express Merrylands,BP,65 Kenyons Road,Merrylands West,New South Wales,-33.836823,150.968416
2700,An establishment where a range of fuel products can be purchased by motorists,BP Silverwater,BP,51 Egerton Street,Silverwater,New South Wales,-33.836286,151.047815
2701,An establishment where a range of fuel products can be purchased by motorists,BP Southbridge,BP,186 Main North Road,Clare,South Australia,-33.836286,138.61418
2702,An establishment where a range of fuel products can be purchased by motorists,BP Grenfell Road,BP,11 Grenfell Road,Cowra,New South Wales,-33.834381,148.673379
2703,An establishment where a range of fuel products can be purchased by motorists,BP Connect Mosman,BP,40-42 Avenue Road,Mosman,New South Wales,-33.832011,151.237302
2704,An establishment where a range of fuel products can be purchased by motorists,BP Granville,BP,27-31 Woodville Road,Granville,New South Wales,-33.830928,151.004151
2705,An establishment where a range of fuel products can be purchased by motorists,BP Clare,BP,323 Main North Road,Clare,South Australia,-33.830019,138.608636
2706,An establishment where a range of fuel products can be purchased by motorists,BP Greystanes,BP,2 Kippax Street,Greystanes,New South Wales,-33.827906,150.937922
2707,An establishment where a range of fuel products can be purchased by motorists,BP Express Northwood,BP,9 Northwood Road,Longueville,New South Wales,-33.82453,151.172579
2708,An establishment where a range of fuel products can be purchased by motorists,BP Express Mosman,BP,171-175 Ourimbah Road,Mosman,New South Wales,-33.821057,151.233292
2709,An establishment where a range of fuel products can be purchased by motorists,BP Connect Naremburn,BP,169 Willoughby Road,Naremburn,New South Wales,-33.820018,151.201178
2710,An establishment where a range of fuel products can be purchased by motorists,BP Connect Rosehill,BP,123 Hassall Street,Rosehill,New South Wales,-33.819495,151.021194
2711,An establishment where a range of fuel products can be purchased by motorists,BP Mays Hill,BP,149-151 Great Western Highway,Mays Hill,New South Wales,-33.819423,150.98931
2712,An establishment where a range of fuel products can be purchased by motorists,BP Victoria Road,BP,898-902 Victoria Road,West Ryde,New South Wales,-33.811869,151.094692
2713,An establishment where a range of fuel products can be purchased by motorists,BP Express Lane Cove,BP,62 Epping Road,Lane Cove,New South Wales,-33.811084,151.164148
2714,An establishment where a range of fuel products can be purchased by motorists,BP Express Rydalmere,BP,265 Victoria Road,Rydalmere,New South Wales,-33.810933,151.032802
2715,An establishment where a range of fuel products can be purchased by motorists,BP Express Tower,BP,498-500 Willoughby Road,Willoughby,New South Wales,-33.810229,151.199314
2716,An establishment where a range of fuel products can be purchased by motorists,BP Wentworthville,BP,55-57 Station Street,Wentworthville,New South Wales,-33.809172,150.971337
2717,An establishment where a range of fuel products can be purchased by motorists,BP Express West Ryde,BP,1233 Victoria Road,West Ryde,New South Wales,-33.806674,151.070954
2718,An establishment where a range of fuel products can be purchased by motorists,BP Connect Parramatta,BP,433-437 Church Street,Parramatta,New South Wales,-33.804998,151.005554
2719,An establishment where a range of fuel products can be purchased by motorists,BP Express Dundas,BP,256 Kissing Point Road,Dundas Valley,New South Wales,-33.798849,151.054566
2720,An establishment where a range of fuel products can be purchased by motorists,BP Denistone East,BP,295 Quarry Road,Ryde,New South Wales,-33.795807,151.102919
2721,An establishment where a range of fuel products can be purchased by motorists,Fox Hills ,BP,152 Toongabbie Road,Girraween,New South Wales,-33.795614,150.939038
2722,An establishment where a range of fuel products can be purchased by motorists,BP Connect Balgowlah,BP,487 Sydney Road,Balgowlah,New South Wales,-33.795438,151.255933
2723,An establishment where a range of fuel products can be purchased by motorists,BP Express Willoughby,BP,316 Penshurst Street,Willoughby,New South Wales,-33.793776,151.19587
2724,An establishment where a range of fuel products can be purchased by motorists,BP Manly,BP,131-139 Pittwater Road,Manly,New South Wales,-33.790352,151.28482
2725,An establishment where a range of fuel products can be purchased by motorists,BP Castle Cove,BP,327 Eastern Valley Way,Middle Cove,New South Wales,-33.784846,151.200897
2726,An establishment where a range of fuel products can be purchased by motorists,BP Connect Minchinbury,BP,1055 Great Western Highway,Minchinbury,New South Wales,-33.782117,150.824513
2727,An establishment where a range of fuel products can be purchased by motorists,BP Connect Chatsworth,BP,115-119 Mamre Road,St Marys,New South Wales,-33.781323,150.771089
2728,An establishment where a range of fuel products can be purchased by motorists,BP North Manly,BP,504 Pittwater Road,North Manly,New South Wales,-33.775121,151.270878
2729,An establishment where a range of fuel products can be purchased by motorists,BP Express Jamisontown,BP,124-128 Mulgoa Road,Jamisontown,New South Wales,-33.76977,150.676503
2730,An establishment where a range of fuel products can be purchased by motorists,BP North Rocks,BP,369 North Rocks Road,Carlingford,New South Wales,-33.769176,151.03205
2731,An establishment where a range of fuel products can be purchased by motorists,BP Seven Hills,BP,156 Prospect Highway,Seven Hills,New South Wales,-33.769114,150.941546
2732,An establishment where a range of fuel products can be purchased by motorists,BP Werrington,BP,569 Great Western Highway,Werrington,New South Wales,-33.768071,150.758375
2733,An establishment where a range of fuel products can be purchased by motorists,BP Connect Seven Hills,BP,26 Abbott Road,Seven Hills,New South Wales,-33.767246,150.952063
2734,An establishment where a range of fuel products can be purchased by motorists,BP Allambie Heights,BP,132 Allambie Road,Allambie Heights,New South Wales,-33.765091,151.249673
2735,An establishment where a range of fuel products can be purchased by motorists,BP Connect Carlingford,BP,712-714 Pennant Hills Road,Carlingford,New South Wales,-33.763676,151.047281
2736,An establishment where a range of fuel products can be purchased by motorists,BP Centre,BP,45 Yanko Road,West Pymble,New South Wales,-33.762075,151.128509
2737,An establishment where a range of fuel products can be purchased by motorists,BP Baulkham Hills West,BP,134 Seven Hills Road,Baulkham Hills,New South Wales,-33.761607,150.974059
2738,An establishment where a range of fuel products can be purchased by motorists,BP Connect St Marys,BP,2B Kurrajong Road,North St Marys,New South Wales,-33.760217,150.78186
2739,An establishment where a range of fuel products can be purchased by motorists,BP Forestville,BP,632 Warringah Road,Forestville,New South Wales,-33.760019,151.214383
2740,An establishment where a range of fuel products can be purchased by motorists,BP Oakes,BP,48-50 Aiken Road,West Pennant Hills,New South Wales,-33.754156,151.040597
2741,An establishment where a range of fuel products can be purchased by motorists,BP Sunnyholt,BP,154 Sunnyholt Road,Kings Park,New South Wales,-33.751763,150.915249
2742,An establishment where a range of fuel products can be purchased by motorists,BP South Turramurra,BP,213 Kissing Point Road,South Turramurra,New South Wales,-33.748505,151.111942
2743,An establishment where a range of fuel products can be purchased by motorists,BP Connect Woodcroft,BP,1 Woodcroft Drive,Woodcroft,New South Wales,-33.747954,150.879799
2744,An establishment where a range of fuel products can be purchased by motorists,BP Blaxland,BP,67 Old Bathurst Road,Blaxland,New South Wales,-33.745998,150.622451
2745,An establishment where a range of fuel products can be purchased by motorists,BP Express Penrith,BP,2209-2213 Castlereagh Road,Penrith,New South Wales,-33.743844,150.692572
2746,An establishment where a range of fuel products can be purchased by motorists,BP Express Pymble,BP,1103 Pacific Highway,Pymble,New South Wales,-33.740425,151.137983
2747,An establishment where a range of fuel products can be purchased by motorists,BP Connect Glendenning,BP,646 Richmond Road,Glendenning,New South Wales,-33.737619,150.853223
2748,An establishment where a range of fuel products can be purchased by motorists,BP Connect Norwest,BP,2 Celebration Drive,Bella Vista,New South Wales,-33.732174,150.943858
2749,An establishment where a range of fuel products can be purchased by motorists,BP Connect Thornleigh,BP,244-250 Pennant Hills Road,Thornleigh,New South Wales,-33.730839,151.080644
2750,An establishment where a range of fuel products can be purchased by motorists,BP Shalvey,BP,481 Luxford Road,Shalvey,New South Wales,-33.729477,150.805292
2751,An establishment where a range of fuel products can be purchased by motorists,BP Normanhurst,BP,155 Pennant Hills Road,Normanhurst,New South Wales,-33.724679,151.090084
2752,An establishment where a range of fuel products can be purchased by motorists,BP Connect Quakers Hill,BP,45 Hambledon Road,Quakers Hill,New South Wales,-33.717457,150.892035
2753,An establishment where a range of fuel products can be purchased by motorists,BP Connect Kellyville,BP,19-21 Windsor Road,Kellyville,New South Wales,-33.712846,150.959152
2754,An establishment where a range of fuel products can be purchased by motorists,BP Express Hornsby,BP,84 George Street,Hornsby,New South Wales,-33.702147,151.099691
2755,An establishment where a range of fuel products can be purchased by motorists,BP Springwood,BP,1-5 Peninsula Road,Valley Heights,New South Wales,-33.701839,150.581894
2756,An establishment where a range of fuel products can be purchased by motorists,BP Dural,BP,582 Old Northern Road,Dural,New South Wales,-33.695702,151.028347
2757,An establishment where a range of fuel products can be purchased by motorists,BP 2Go Asquith,BP,462 Pacific Highway,Asquith,New South Wales,-33.689892,151.106054
2758,An establishment where a range of fuel products can be purchased by motorists,BP Express Mona Vale,BP,1721-1723 Pittwater Road,Mona Vale,New South Wales,-33.680454,151.302364
2759,An establishment where a range of fuel products can be purchased by motorists,BP Express Peninsula,BP,24 Barrenjoey Road,Mona Vale,New South Wales,-33.676707,151.309003
2760,An establishment where a range of fuel products can be purchased by motorists,Riverstone ,BP,196-200 Riverstone Parade,Riverstone,New South Wales,-33.66451,150.854772
2761,An establishment where a range of fuel products can be purchased by motorists,BP Avalon,BP,662-664 Barrenjoey Road,Avalon,New South Wales,-33.625934,151.334489
2762,An establishment where a range of fuel products can be purchased by motorists,Oakville ,BP,225 Saunders Road,Oakville,New South Wales,-33.615669,150.874482
2763,An establishment where a range of fuel products can be purchased by motorists,BP Mcgraths Hill,BP,126 Windsor Road,McGraths Hill,New South Wales,-33.615352,150.833353
2764,An establishment where a range of fuel products can be purchased by motorists,BP Maraylya,BP,345 Pitt Town Road,Maraylya,New South Wales,-33.593694,150.916813
2765,An establishment where a range of fuel products can be purchased by motorists,Pitt Town Convenience Store,BP,71 Bathurst Street,Pitt Town,New South Wales,-33.586747,150.859682
2766,An establishment where a range of fuel products can be purchased by motorists,BP North Richmond,BP,3 Bells Line Of Road,North Richmond,New South Wales,-33.583085,150.72235
2767,An establishment where a range of fuel products can be purchased by motorists,Nangar ,BP,76 Rodd Street,Canowindra,New South Wales,-33.561452,148.667872
2768,An establishment where a range of fuel products can be purchased by motorists,BP Kurmond,BP,501-509 Bells Line Of Road,Kurmond,New South Wales,-33.550945,150.691164
2769,An establishment where a range of fuel products can be purchased by motorists,BP North Wilberforce,BP,362 Putty Road,Wilberforce,New South Wales,-33.528434,150.830006
2770,An establishment where a range of fuel products can be purchased by motorists,BP Woy Woy,BP,79-83 Rawson Road,Woy Woy,New South Wales,-33.493793,151.320166
2771,An establishment where a range of fuel products can be purchased by motorists,Village Store,BP,11-13 Vale Road,Perthville,New South Wales,-33.486561,149.5471
2772,An establishment where a range of fuel products can be purchased by motorists,Go 24 Kelso,BP,63 Sydney Road,Kelso,New South Wales,-33.419259,149.607611
2773,An establishment where a range of fuel products can be purchased by motorists,Go 24 Stewart Street,BP,257 Stewart Street,Bathurst,New South Wales,-33.417434,149.569175
2774,An establishment where a range of fuel products can be purchased by motorists,BP Forbes,BP,29 Dowling Street,Forbes,New South Wales,-33.381197,148.010028
2775,An establishment where a range of fuel products can be purchased by motorists,Crouch Rural,Independent Fuel Supplies,26 Brandis Street,Crystal Brook,South Australia,-33.353753,138.20852
2776,An establishment where a range of fuel products can be purchased by motorists,BP Crystal Brook Eyre Road,BP,68 Eyre Road,Crystal Brook,South Australia,-33.34973698,138.2060763
2777,An establishment where a range of fuel products can be purchased by motorists,BP Bungama,BP,Princes Highway,Bungama,South Australia,-33.20071802,138.086516
2778,An establishment where a range of fuel products can be purchased by motorists,BP Port Pirie,BP,328 Senate Road,Port Pirie,South Australia,-33.198385,137.997277
2779,An establishment where a range of fuel products can be purchased by motorists,Lake Munmorah,United,335 Pacific Highway,Lake Munmorah,New South Wales,-33.190109,151.567871
2780,An establishment where a range of fuel products can be purchased by motorists,BP Port Pirie Ellen Street,BP,200 Ellen Street,Port Pirie,South Australia,-33.180273,138.011348
2781,An establishment where a range of fuel products can be purchased by motorists,BP McRitchie,BP,21-33 McRitchie Crescent,Whyalla,South Australia,-33.020251,137.525965
2782,An establishment where a range of fuel products can be purchased by motorists,BP Port Augusta Truckstop,BP,Lot 3 Eyre Highway,Port Augusta,South Australia,-32.508717,137.796686
2783,An establishment where a range of fuel products can be purchased by motorists,Corrigin ,BP,Lot 290 Walton Street,Corrigin,Western Australia,-32.33318593,117.8734015
2784,An establishment where a range of fuel products can be purchased by motorists,Dubbo ,BP,105 Erskine Street,Dubbo,New South Wales,-32.24405382,148.6100862
2785,An establishment where a range of fuel products can be purchased by motorists,BP Norseman,BP,Coolgardie-Esperance Highway and Eyre Highway,Norseman,Western Australia,-32.185824,121.779547
2786,An establishment where a range of fuel products can be purchased by motorists,Ceduna Fuel & Tyres,BP,28 McKenzie Street,Ceduna,South Australia,-32.126112,133.677094
2787,An establishment where a range of fuel products can be purchased by motorists,BP Hawker,BP,40 Elder Terrace,Hawker,South Australia,-31.889833,138.423743
2788,An establishment where a range of fuel products can be purchased by motorists,BP Bruce Rock,BP,Lot 384 Johnson Street,Bruce Rock,Western Australia,-31.874462,118.149349
2789,An establishment where a range of fuel products can be purchased by motorists,BP Clybucca Truckstop,BP,2171 Pacific Highway,Clybucca,New South Wales,-30.938535,152.942305
2790,An establishment where a range of fuel products can be purchased by motorists,Mukinbudin ,BP,Strugnell Street and Potter Street,Mukinbudin,Western Australia,-30.91357117,118.2029667
2791,An establishment where a range of fuel products can be purchased by motorists,BP Wongan Hills Shop,BP,160 Wongan Road,Wongan Hills,Western Australia,-30.89752572,116.7200763
2792,An establishment where a range of fuel products can be purchased by motorists,Macksville ,BP,2 Star Street,Macksville,New South Wales,-30.70867133,152.9215794
2793,An establishment where a range of fuel products can be purchased by motorists,BP North Urunga,BP,8451 Pacific Highway,Urunga,New South Wales,-30.486144,153.00866
2794,An establishment where a range of fuel products can be purchased by motorists,Fosters ,BP,84-90 Hyde Street,Bellingen,New South Wales,-30.452043,152.895811
2795,An establishment where a range of fuel products can be purchased by motorists,BP South Coffs Harbour,BP,380 Pacific Highway,North Boambee Valley,New South Wales,-30.318322,153.089279
2796,An establishment where a range of fuel products can be purchased by motorists,BP Coffs Harbour,BP,136 Pacific Highway,Coffs Harbour,New South Wales,-30.291626,153.118354
2797,An establishment where a range of fuel products can be purchased by motorists,Park Beach Mini Mart,BP,35 Ocean Parade,Coffs Harbour,New South Wales,-30.290512,153.137859
2798,An establishment where a range of fuel products can be purchased by motorists,BP  Oudenryn,BP,45 Boolcarrol Street,Wee Waa,New South Wales,-30.22471045,149.4327243
2799,An establishment where a range of fuel products can be purchased by motorists,Coramba  And Hardware,BP,33 Gale Street,Coramba,New South Wales,-30.221765,153.014209
2800,An establishment where a range of fuel products can be purchased by motorists,BP Woolgoolga,BP,56 Clarence Street,Woolgoolga,New South Wales,-30.110805,153.190417
2801,An establishment where a range of fuel products can be purchased by motorists,BP North Ballina,BP,1 Southern Cross Drive,Ballina,New South Wales,-28.852647,153.556329
2802,An establishment where a range of fuel products can be purchased by motorists,Brown and Hurley,BP,1 Craig Street,Kyogle,New South Wales,-28.63498446,153.0043866
2803,An establishment where a range of fuel products can be purchased by motorists,BP Murwillumbah,BP,212 Tweed Valley Way,Murwillumbah South,New South Wales,-28.327418,153.40834
2804,An establishment where a range of fuel products can be purchased by motorists,BP Tugun,BP,472 Golden Four Drive,Tugun,Queensland,-28.142815,153.493319
2805,An establishment where a range of fuel products can be purchased by motorists,BP Elanora,BP,Cnr Guineas Creek Road and Casuarina Drive,Elanora,Queensland,-28.133255,153.443325
2806,An establishment where a range of fuel products can be purchased by motorists,BP 2Go West Burleigh,BP,103 West Burleigh Road,Burleigh Waters,Queensland,-28.093889,153.442642
2807,An establishment where a range of fuel products can be purchased by motorists,BP Mudgeeraba,BP,Gemvale Road,Mudgeeraba,Queensland,-28.088006,153.38043
2808,An establishment where a range of fuel products can be purchased by motorists,BP Connect Merrimac,BP,Cnr Ghilgai Road and Gooding Drive,Merrimac,Queensland,-28.046846,153.366952
2809,An establishment where a range of fuel products can be purchased by motorists,BP St George,BP,85 Victoria Street,St George,Queensland,-28.03495748,148.5833516
2810,An establishment where a range of fuel products can be purchased by motorists,BP Highland Park,BP,Alexander Drive,Highland Park,Queensland,-28.013192,153.335943
2811,An establishment where a range of fuel products can be purchased by motorists,BP Benowa,BP,117 Ashmore Road,Benowa,Queensland,-28.008865,153.398257
2812,An establishment where a range of fuel products can be purchased by motorists,BP Nerang,BP,Gilston Road,Nerang,Queensland,-27.999275,153.339006
2813,An establishment where a range of fuel products can be purchased by motorists,BP Ashmore,BP,588 Southport Nerang Road,Ashmore,Queensland,-27.986349,153.363235
2814,An establishment where a range of fuel products can be purchased by motorists,BP Helensvale,BP,2 Discovery Drive,Helensvale,Queensland,-27.922168,153.336986
2815,An establishment where a range of fuel products can be purchased by motorists,BP Connect Oxenford,BP,48-52 Old Pacific Highway,Oxenford,Queensland,-27.897093,153.313576
2816,An establishment where a range of fuel products can be purchased by motorists,BP Hope Island,BP,69-71 Crescent Avenue,Hope Island,Queensland,-27.877318,153.374622
2817,An establishment where a range of fuel products can be purchased by motorists,BP Connect Coomera North,BP,Abraham Road & Pacific Motorway,Upper Coomera,Queensland,-27.860856,153.308657
2818,An establishment where a range of fuel products can be purchased by motorists,BP North Maclean,BP,Cnr Mount Lindesay Road and Wearing Road,North Maclean,Queensland,-27.775833,153.014512
2819,An establishment where a range of fuel products can be purchased by motorists,BP Logan Village,BP,111-113 Albert Street,Logan Village,Queensland,-27.766829,153.108298
2820,An establishment where a range of fuel products can be purchased by motorists,BP Connect Stapylton,BP,Henry Hester Drive,Stapylton,Queensland,-27.732989,153.227963
2821,An establishment where a range of fuel products can be purchased by motorists,BP Connect Mt Warren Park,BP,2-4 Mount Warren Boulevard,Mount Warren Park,Queensland,-27.722856,153.194998
2822,An establishment where a range of fuel products can be purchased by motorists,BP Waterford,BP,10-12 Nerang Street,Logan City,Queensland,-27.6939,153.142529
2823,An establishment where a range of fuel products can be purchased by motorists,BP Connect Loganholme,BP,4120 Pacific Highway,Loganholme,Queensland,-27.684564,153.189663
2824,An establishment where a range of fuel products can be purchased by motorists,BP Express Regents Park,BP,3484 Mount Lindesay Road,Regents Park,Queensland,-27.676801,153.031791
2825,An establishment where a range of fuel products can be purchased by motorists,BP Hillcrest,BP,33 Middle Road,Hillcrest,Queensland,-27.674481,153.027781
2826,An establishment where a range of fuel products can be purchased by motorists,BP Logandale,BP,141 Beenleigh-Redland Bay Road,Logandale,Queensland,-27.67073,153.200888
2827,An establishment where a range of fuel products can be purchased by motorists,BP Central Brown Plains,BP,111 Browns Plains Road,Browns Plains,Queensland,-27.662434,153.048363
2828,An establishment where a range of fuel products can be purchased by motorists,BP Yamanto,BP,500 Warwick Road,Yamanto,Queensland,-27.660372,152.740187
2829,An establishment where a range of fuel products can be purchased by motorists,BP Jacaranda Avenue,BP,469 Kingston Road,Kingston,Queensland,-27.658802,153.116797
2830,An establishment where a range of fuel products can be purchased by motorists,BP Churchill,BP,272 Warwick Road,Churchill,Queensland,-27.643984,152.751015
2831,An establishment where a range of fuel products can be purchased by motorists,BP Mount Cotton,BP,1605 Mount Cotton Road,Mount Cotton,Queensland,-27.637516,153.239593
2832,An establishment where a range of fuel products can be purchased by motorists,Buhses Garage,BP,5 Spicer Street,Laidley,Queensland,-27.630038,152.394938
2833,An establishment where a range of fuel products can be purchased by motorists,BP Eastern Heights,BP,Cnr Grange and Robertson Road,Eastern Heights,Queensland,-27.628031,152.777703
2834,An establishment where a range of fuel products can be purchased by motorists,BP Connect Springwood,BP,3388 Pacific Highway,Springwood,Queensland,-27.622318,153.128189
2835,An establishment where a range of fuel products can be purchased by motorists,BP Silkstone,BP,134 Blackstone Road,Silkstone,Queensland,-27.621402,152.789708
2836,An establishment where a range of fuel products can be purchased by motorists,BP Kuraby,BP,200 Compton Road,Karawatha,Queensland,-27.61798,153.094008
2837,An establishment where a range of fuel products can be purchased by motorists,BP Express Goodna,BP,237 Brisbane Road,Goodna,Queensland,-27.609791,152.902499
2838,An establishment where a range of fuel products can be purchased by motorists,BP Redland Bay,BP,Cnr Double Jump and Redlands Bay Road,Victoria Point,Queensland,-27.606103,153.288087
2839,An establishment where a range of fuel products can be purchased by motorists,BP Underwood,Independent Fuel Supplies,3075-3079 Logan Road,Logan City,Queensland,-27.598717,153.109067
2840,An establishment where a range of fuel products can be purchased by motorists,BP Underwood,BP,2804-2810 Logan Road,Logan City,Queensland,-27.597302,153.109336
2841,An establishment where a range of fuel products can be purchased by motorists,BP Wacol Truck Stop,BP,576 Progress Road,Wacol,Queensland,-27.593486,152.934684
2842,An establishment where a range of fuel products can be purchased by motorists,BP Tivoli,BP,47 Mount Crosby Road,Tivoli,Queensland,-27.589067,152.771974
2843,An establishment where a range of fuel products can be purchased by motorists,BP Acacia Ridge,BP,1434 Beaudesert Road,Acacia Ridge,Queensland,-27.588387,153.027695
2844,An establishment where a range of fuel products can be purchased by motorists,Van Ansem Auto Electrical,BP,68 Gatton-Laidley Road,Forest Hill,Queensland,-27.583645,152.363106
2845,An establishment where a range of fuel products can be purchased by motorists,BP Centrepoint Rochedale,BP,674 Miles Platting Road,Rochedale,Queensland,-27.580219,153.124802
2846,An establishment where a range of fuel products can be purchased by motorists,BP Connect Blacksoil,BP,1420 Warrego Highway,Blacksoil,Queensland,-27.579082,152.712982
2847,An establishment where a range of fuel products can be purchased by motorists,Toowoomba ,BP,252 Anzac Avenue,Toowoomba,Queensland,-27.57887226,151.9212217
2848,An establishment where a range of fuel products can be purchased by motorists,BP Warrego Highway,BP,1515 Warrego Highway,Blacksoil,Queensland,-27.57594,152.704309
2849,An establishment where a range of fuel products can be purchased by motorists,BP Express Eight Mile Plains,BP,Cnr Warrigal and Padstow Road,Eight Mile Plains,Queensland,-27.575652,153.088069
2850,An establishment where a range of fuel products can be purchased by motorists,Zischke Fuels,Independent Fuel Supplies,4216 Warrego Highway,Hatton Vale,Queensland,-27.567739,152.462221
2851,An establishment where a range of fuel products can be purchased by motorists,BP Express Sunnybank,BP,Cnr Mains and Musgrave Road,Robertson,Queensland,-27.56708,153.064613
2852,An establishment where a range of fuel products can be purchased by motorists,BP Archerfield,BP,Cnr Beaufighter Avenue and Boundary Road,Archerfield,Queensland,-27.565556,152.998277
2853,An establishment where a range of fuel products can be purchased by motorists,BP Express Wishart,BP,1 Delavan Street,Wishart,Queensland,-27.561353,153.089392
2854,An establishment where a range of fuel products can be purchased by motorists,BP Connect Riawena Road,BP,Riawena Road,Salisbury,Queensland,-27.558818,153.03118
2855,An establishment where a range of fuel products can be purchased by motorists,BP Gatton,BP,277 Gatton-Helidon Road,Gatton,Queensland,-27.555122,152.289927
2856,An establishment where a range of fuel products can be purchased by motorists,BP Oxley,BP,945 Oxley Road,Oxley,Queensland,-27.553163,152.978838
2857,An establishment where a range of fuel products can be purchased by motorists,BP Thornlands,BP,367 Bloomfield Street,Cleveland,Queensland,-27.547919,153.265248
2858,An establishment where a range of fuel products can be purchased by motorists,BP Salisbury,BP,Cnr Bye Street and Evans Road,Salisbury,Queensland,-27.54596,153.03862
2859,An establishment where a range of fuel products can be purchased by motorists,BP College View,BP,Cnr Villis Road and Warrego Highway,College View,Queensland,-27.544276,152.344676
2860,An establishment where a range of fuel products can be purchased by motorists,BP Capalaba South,BP,3 Currumbin Court,Capalaba,Queensland,-27.53476,153.206421
2861,An establishment where a range of fuel products can be purchased by motorists,BP Cleveland,BP,1-3 Gordon Street,Ormiston,Queensland,-27.523827,153.258545
2862,An establishment where a range of fuel products can be purchased by motorists,BP Capalaba,BP,65 Old Cleveland Road,Capalaba,Queensland,-27.520885,153.191422
2863,An establishment where a range of fuel products can be purchased by motorists,BP Cavendish Road,BP,Cnr Cavendish and Holland Road,Holland Park,Queensland,-27.514828,153.072402
2864,An establishment where a range of fuel products can be purchased by motorists,BP Holland Park,BP,779 Logan Road ,Holland Park,Queensland,-27.514226,153.054721
2865,An establishment where a range of fuel products can be purchased by motorists,BP Connect Plaza,BP,Cnr Moggill and Cedarleigh Road,Kenmore,Queensland,-27.508056,152.946588
2866,An establishment where a range of fuel products can be purchased by motorists,BP Cornwall,BP,Cnr Cornwall and Cleveland Street,Greenslopes,Queensland,-27.502367,153.045363
2867,An establishment where a range of fuel products can be purchased by motorists,BP Indooroopilly,BP,71 Coonan Street,Indooroopilly,Queensland,-27.499571,152.975569
2868,An establishment where a range of fuel products can be purchased by motorists,BP Moggill Road,BP,Moggill Road,Indooroopilly,Queensland,-27.497533,152.973705
2869,An establishment where a range of fuel products can be purchased by motorists,BP Express Carindale,BP,1363 Creek Road,Carindale,Queensland,-27.495308,153.101746
2870,An establishment where a range of fuel products can be purchased by motorists,BP Stanley Street East,BP,979 Stanley Street East,East Brisbane,Queensland,-27.488524,153.047619
2871,An establishment where a range of fuel products can be purchased by motorists,BP Express St Lucia,BP,Cnr Benson and Brisbane Street,St Lucia,Queensland,-27.48834,152.993064
2872,An establishment where a range of fuel products can be purchased by motorists,BP Latrobe,BP,49 Lytton Road,East Brisbane,Queensland,-27.479549,153.043665
2873,An establishment where a range of fuel products can be purchased by motorists,BP Tingalpa,BP,1589 Wynnum Road,Tingalpa,Queensland,-27.474656,153.130081
2874,An establishment where a range of fuel products can be purchased by motorists,BP Cannon Hill,BP,1069 Wynnum Road,Cannon Hill,Queensland,-27.469734,153.095764
2875,An establishment where a range of fuel products can be purchased by motorists,BP Milton,BP,119 Milton Road ,Milton,Queensland,-27.467526,153.007592
2876,An establishment where a range of fuel products can be purchased by motorists,BP Manly,BP,Cnr Gordon Parade and Ernest Street,Manly,Queensland,-27.457578,153.178607
2877,An establishment where a range of fuel products can be purchased by motorists,BP Commercial Road,BP,20 Commercial Road,Newstead,Queensland,-27.452842,153.0419
2878,An establishment where a range of fuel products can be purchased by motorists,BP The Gap,BP,850 Waterworks Road,The Gap,Queensland,-27.446798,152.959616
2879,An establishment where a range of fuel products can be purchased by motorists,BP Noonans Garage,BP,161 Waterworks Road,Ashgrove,Queensland,-27.445866,152.99752
2880,An establishment where a range of fuel products can be purchased by motorists,BP Connect Bowen Bridge,BP,44 Bowen Bridge Road,Herston,Queensland,-27.44542,153.029385
2881,An establishment where a range of fuel products can be purchased by motorists,BP Connect Hamilton,BP,126 Kingsford Smith Drive,Hamilton,Queensland,-27.43951,153.049327
2882,An establishment where a range of fuel products can be purchased by motorists,BP Express Ashgrove,BP,115 Stewart Road,Ashgrove,Queensland,-27.439257,152.989868
2883,An establishment where a range of fuel products can be purchased by motorists,BP Ascot,BP,94 Kitchener Road,Ascot,Queensland,-27.428371,153.062149
2884,An establishment where a range of fuel products can be purchased by motorists,Atkinson Dam Cabin Village,Independent Fuel Supplies,487 Atkinsons Dam Road,Atkinsons Dam,Queensland,-27.42000791,152.4529792
2885,An establishment where a range of fuel products can be purchased by motorists,BP Connect Ferny Grove,BP,1312 Samford Road,Ferny Grove,Queensland,-27.40234,152.937056
2886,An establishment where a range of fuel products can be purchased by motorists,BP Edinburgh Castle,BP,411 Gympie Road,Kedron,Queensland,-27.402259,153.031998
